Year,Ceremony,Award,Winner,Name,Film,,,
1929/1930,3,Directing,,Ernst Lubitsch,The Love Parade,,,
1929/1930,3,Directing,1,Lewis Milestone,All Quiet on the Western Front,,,
1929/1930,3,Directing,,King Vidor,Hallelujah,,,
1929/1930,3,Outstanding Production,1,Universal,All Quiet on the Western Front ,,,
1929/1930,3,Outstanding Production,,Cosmopolitan,The Big House ,,,
1929/1930,3,Outstanding Production,,Warner Brothers,Disraeli ,,,
1929/1930,3,Outstanding Production,,Metro-Goldwyn-Mayer,The Divorcee ,,,
1929/1930,3,Outstanding Production,,Paramount Famous Lasky,The Love Parade ,,,
1929/1930,3,Sound Recording,1,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House ,,,
1929/1930,3,Sound Recording,,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa ,,,
1929/1930,3,Sound Recording,,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade ,,,
1929/1930,3,Sound Recording,,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles ,,,
1929/1930,3,Sound Recording,,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame ,,,
1929/1930,3,Writing,,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front ,,,
1929/1930,3,Writing,1,Frances Marion,The Big House ,,,
1929/1930,3,Writing,,(Julian Josephson),Disraeli ,,,
1929/1930,3,Writing,,(John Meehan),The Divorcee ,,,
1929/1930,3,Writing,,(Howard Estabrook),Street of Chance ,,,
1930/1931,4,Actor,1,Lionel Barrymore,A Free Soul,,,
1930/1931,4,Actor,,Jackie Cooper,Skippy,,,
1930/1931,4,Actor,,Richard Dix,Cimarron,,,
1930/1931,4,Actor,,Fredric March,The Royal Family of Broadway,,,
1930/1931,4,Actor,,Adolphe Menjou,The Front Page,,,
1930/1931,4,Actress,,Marlene Dietrich,Morocco,,,
1930/1931,4,Actress,1,Marie Dressler,Min and Bill,,,
1930/1931,4,Actress,,Irene Dunne,Cimarron,,,
1930/1931,4,Actress,,Ann Harding,Holiday,,,
1930/1931,4,Actress,,Norma Shearer,A Free Soul,,,
1930/1931,4,Art Direction,1,Max Rée,Cimarron ,Cimarron ,,
1930/1931,4,Art Direction,,"Stephen Goosson, Ralph Hammeras",Just Imagine ,Just Imagine ,,
1930/1931,4,Art Direction,,Hans Dreier,Morocco ,Morocco ,,
1930/1931,4,Art Direction,,Anton Grot,Svengali ,Svengali ,,
1930/1931,4,Art Direction,,Richard Day,Whoopee! ,Whoopee! ,,
1930/1931,4,Cinematography,,Edward Cronjager,Cimarron ,Cimarron ,,
1930/1931,4,Cinematography,,Lee Garmes,Morocco ,Morocco ,,
1930/1931,4,Cinematography,,Charles Lang,The Right to Love ,The Right to Love ,,
1930/1931,4,Cinematography,,Barney Chick McGill,Svengali ,Svengali ,,
1930/1931,4,Cinematography,1,Floyd Crosby,Tabu ,Tabu ,,
1930/1931,4,Directing,,Wesley Ruggles,Cimarron ,Cimarron ,,
1930/1931,4,Directing,,Clarence Brown,A Free Soul ,A Free Soul ,,
1930/1931,4,Directing,,Lewis Milestone,The Front Page ,The Front Page ,,
1930/1931,4,Directing,,Josef Von Sternberg,Morocco ,Morocco ,,
1930/1931,4,Directing,1,Norman Taurog,Skippy ,Skippy ,,
1930/1931,4,Outstanding Production,1,RKO Radio,Cimarron ,Cimarron ,,
1930/1931,4,Outstanding Production,,Fox,East Lynne ,East Lynne ,,
1930/1931,4,Outstanding Production,,The Caddo Company,The Front Page ,The Front Page ,,
1930/1931,4,Outstanding Production,,Paramount Publix,Skippy ,Skippy ,,
1930/1931,4,Outstanding Production,,Metro-Goldwyn-Mayer,Trader Horn ,Trader Horn ,,
1930/1931,4,Sound Recording,,Samuel Goldwyn - United Artists Studio Sound Department,,,,
1930/1931,4,Sound Recording,,Metro-Goldwyn-Mayer Studio Sound Department,,,,
1930/1931,4,Sound Recording,1,Paramount Publix Studio Sound Department,,,,
1930/1931,4,Sound Recording,,RKO Radio Studio Sound Department,,,,
1930/1931,4,Writing (Adaptation),1,Howard Estabrook,Cimarron ,Cimarron ,,
1930/1931,4,Writing (Adaptation),,"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code ,The Criminal Code ,,
1930/1931,4,Writing (Adaptation),,Horace Jackson,Holiday ,Holiday ,,
1930/1931,4,Writing (Adaptation),,"Francis Faragoh, Robert N. Lee",Little Caesar ,Little Caesar ,,
1930/1931,4,Writing (Adaptation),,"Joseph L. Mankiewicz, Sam Mintz",Skippy ,Skippy ,,
1930/1931,4,Writing (Original Story),1,John Monk Saunders,The Dawn Patrol ,The Dawn Patrol ,,
1930/1931,4,Writing (Original Story),,Rowland Brown,The Doorway to Hell ,The Doorway to Hell ,,
1930/1931,4,Writing (Original Story),,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter ,Laughter ,,
1930/1931,4,Writing (Original Story),,"John Bright, Kubec Glasmon",The Public Enemy ,The Public Enemy ,,
1930/1931,4,Writing (Original Story),,"Lucien Hubbard, Joseph Jackson",Smart Money ,Smart Money ,,
1931/1932,5,Actor,1,The Champ,Wallace Beery,Wallace Beery,,
1931/1932,5,Actor,,The Guardsman,Alfred Lunt,Alfred Lunt,,
1931/1932,5,Actor,1,Dr. Jekyll and Mr. Hyde,Fredric March,Fredric March,,
1931/1932,5,Actress,,Emma,Marie Dressler,Marie Dressler,,
1931/1932,5,Actress,,The Guardsman,Lynn Fontanne,Lynn Fontanne,,
1931/1932,5,Actress,1,The Sin of Madelon Claudet,Helen Hayes,Helen Hayes,,
1931/1932,5,Art Direction,,Lazare Meerson,À Nous la Liberté ,À Nous la Liberté ,,
1931/1932,5,Art Direction,,Richard Day,Arrowsmith ,Arrowsmith ,,
1931/1932,5,Art Direction,1,Gordon Wiles,Transatlantic ,Transatlantic ,,
1931/1932,5,Cinematography,,Ray June,Arrowsmith ,Arrowsmith ,,
1931/1932,5,Cinematography,,Karl Struss,Dr. Jekyll and Mr. Hyde ,Dr. Jekyll and Mr. Hyde ,,
1931/1932,5,Cinematography,1,Lee Garmes,Shanghai Express ,Shanghai Express ,,
1931/1932,5,Directing,1,Frank Borzage,Bad Girl ,Bad Girl ,,
1931/1932,5,Directing,,King Vidor,The Champ ,The Champ ,,
1931/1932,5,Directing,,Josef Von Sternberg,Shanghai Express ,Shanghai Express ,,
1931/1932,5,Outstanding Production,,Samuel Goldwyn Productions,Arrowsmith ,Arrowsmith ,,
1931/1932,5,Outstanding Production,,Fox,Bad Girl ,Bad Girl ,,
1931/1932,5,Outstanding Production,,Metro-Goldwyn-Mayer,The Champ ,The Champ ,,
1931/1932,5,Outstanding Production,,First National,Five Star Final ,Five Star Final ,,
1931/1932,5,Outstanding Production,1,Metro-Goldwyn-Mayer,Grand Hotel ,Grand Hotel ,,
1931/1932,5,Outstanding Production,,Paramount Publix,One Hour with You ,One Hour with You ,,
1931/1932,5,Outstanding Production,,Paramount Publix,Shanghai Express ,Shanghai Express ,,
1931/1932,5,Outstanding Production,,Paramount Publix,The Smiling Lieutenant ,The Smiling Lieutenant ,,
1931/1932,5,Short Subject (Cartoon),1,"Walt Disney, Producer",Flowers and Trees ,Flowers and Trees ,,
1931/1932,5,Short Subject (Cartoon),,"Leon Schlesinger, Producer",It's Got Me Again ,It's Got Me Again ,,
1931/1932,5,Short Subject (Cartoon),,"Walt Disney, Producer",Mickey's Orphans ,Mickey's Orphans ,,
1931/1932,5,Short Subject (Comedy),,"Mack Sennett, Producer",The Loud Mouth ,The Loud Mouth ,,
1931/1932,5,Short Subject (Comedy),1,"Hal Roach, Producer",The Music Box ,The Music Box ,,
1931/1932,5,Short Subject (Comedy),,RKO Radio,Scratch-As-Catch-Can ,Scratch-As-Catch-Can ,,
1931/1932,5,Short Subject (Comedy),,RKO Radio,Stout Hearts and Willing Hands ,Stout Hearts and Willing Hands ,,
1931/1932,5,Short Subject (Novelty),,Paramount Publix,Screen Souvenirs ,Screen Souvenirs ,,
1931/1932,5,Short Subject (Novelty),,Metro-Goldwyn-Mayer,Swing High ,Swing High ,,
1931/1932,5,Short Subject (Novelty),1,"Mack Sennett, Producer",Wrestling Swordfish ,Wrestling Swordfish ,,
1931/1932,5,Sound Recording,,Metro-Goldwyn-Mayer Studio Sound Department,,,,
1931/1932,5,Sound Recording,1,Paramount Publix Studio Sound Department,,,,
1931/1932,5,Sound Recording,,RKO Radio Studio Sound Department,,,,
1931/1932,5,Sound Recording,,Warner Brothers-First National Studio Sound Department,,,,
1931/1932,5,Writing (Adaptation),,Cavalcade,Arrowsmith ,Arrowsmith ,,
1931/1932,5,Writing (Adaptation),1,Edwin Burke,Bad Girl ,Bad Girl ,,
1931/1932,5,Writing (Adaptation),,"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde ,Dr. Jekyll and Mr. Hyde ,,
1931/1932,5,Writing (Original Story),1,;kadkflk,The Champ ,The Champ ,,
1931/1932,5,Writing (Original Story),,"Grover Jones, William Slavens McNutt",Lady and Gent ,Lady and Gent ,,
1931/1932,5,Writing (Original Story),,Lucien Hubbard,The Star Witness ,The Star Witness ,,
1931/1932,5,Writing (Original Story),,"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood? ,What Price Hollywood? ,,
1931/1932,5,Special Award,1,Walt Disney,“Mickey Mouse”,,,
1932/1933,6,Actor,,Leslie Howard,Berkeley Square,,,
1932/1933,6,Actor,1,Charles Laughton,The Private Life of Henry VIII,,,
1932/1933,6,Actor,,Paul Muni,I Am a Fugitive from a Chain Gang,,,
1932/1933,6,Actress,1,Katharine Hepburn,Morning Glory,,,
1932/1933,6,Actress,,May Robson,Lady for a Day,,,
1932/1933,6,Actress,,Diana Wynyard,Cavalcade,,,
1932/1933,6,Art Direction,1,Cavalcade ,William S. Darling,,,
1932/1933,6,Art Direction,,A Farewell to Arms ,"Hans Dreier, Roland Anderson [Second]",,,
1932/1933,6,Art Direction,,When Ladies Meet ,Cedric Gibbons [Third],,,
1932/1933,6,Assistant Director,,Percy Ikerd (Fox),,,,
1932/1933,6,Assistant Director,1,William Tummel (Fox),,,,
1932/1933,6,Assistant Director,1,Charles Dorian (Metro-Goldwyn-Mayer),,,,
1932/1933,6,Assistant Director,,Bunny Dull (Metro-Goldwyn-Mayer),,,,
1932/1933,6,Assistant Director,,John S. Waters (Metro-Goldwyn-Mayer),,,,
1932/1933,6,Assistant Director,1,Charles Barton (Paramount),,,,
1932/1933,6,Assistant Director,,Sidney S. Brod (Paramount),,,,
1932/1933,6,Assistant Director,,Arthur Jacobson (Paramount),,,,
1932/1933,6,Assistant Director,,Eddie Killey (RKO Radio),,,,
1932/1933,6,Assistant Director,1,Dewey Starkey (RKO Radio),,,,
1932/1933,6,Assistant Director,1,Fred Fox (United Artists),,,,
1932/1933,6,Assistant Director,,Benjamin Silvey (United Artists),,,,
1932/1933,6,Assistant Director,1,Scott Beal (Universal),,,,
1932/1933,6,Assistant Director,,Joe McDonough (Universal),,,,
1932/1933,6,Assistant Director,,W. J. Reiter (Universal),,,,
1932/1933,6,Assistant Director,,Al Alborn (Warner Brothers),,,,
1932/1933,6,Assistant Director,1,Gordon Hollingshead (Warner Brothers),,,,
1932/1933,6,Assistant Director,,Frank X. Shaw (Warner Brothers),,,,
1932/1933,6,Cinematography,1,"Charles Bryant Lang, Jr.",A Farewell to Arms ,A Farewell to Arms ,,
1932/1933,6,Cinematography,,George J. Folsey [Second],Reunion in Vienna ,Reunion in Vienna ,,
1932/1933,6,Cinematography,,Karl Struss [Third],The Sign of the Cross ,The Sign of the Cross ,,
1932/1933,6,Directing,1,Frank Lloyd,Cavalcade ,Cavalcade ,,
1932/1933,6,Directing,,Frank Capra [Second],Lady for a Day ,Lady for a Day ,,
1932/1933,6,Directing,,George Cukor [Third],Little Women ,Little Women ,,
1932/1933,6,Outstanding Production,1,Fox,Cavalcade ,Cavalcade ,,
1932/1933,6,Outstanding Production,,Paramount [Second],A Farewell to Arms ,A Farewell to Arms ,,
1932/1933,6,Outstanding Production,,Warner Brothers,42nd Street ,42nd Street ,,
1932/1933,6,Outstanding Production,,Warner Brothers,I Am a Fugitive from a Chain Gang ,I Am a Fugitive from a Chain Gang ,,
1932/1933,6,Outstanding Production,,Columbia,Lady for a Day ,Lady for a Day ,,
1932/1933,6,Outstanding Production,,RKO Radio [Third],Little Women ,Little Women ,,
1932/1933,6,Outstanding Production,,London Films,The Private Life of Henry VIII ,The Private Life of Henry VIII ,,
1932/1933,6,Outstanding Production,,Paramount,She Done Him Wrong ,She Done Him Wrong ,,
1932/1933,6,Outstanding Production,,Metro-Goldwyn-Mayer,Smilin' Through ,Smilin' Through ,,
1932/1933,6,Outstanding Production,,Fox,State Fair ,State Fair ,,
1932/1933,6,Short Subject (Cartoon),,"Walt Disney, Producer [Second]",Building a Building ,Building a Building ,,
1932/1933,6,Short Subject (Cartoon),,"Walter Lantz, Producer [Third]",The Merry Old Soul ,The Merry Old Soul ,,
1932/1933,6,Short Subject (Cartoon),1,"Walt Disney, Producer",The Three Little Pigs ,The Three Little Pigs ,,
1932/1933,6,Short Subject (Comedy),,"Warren Doane, Producer [Third]",Mister Mugg ,Mister Mugg ,,
1932/1933,6,Short Subject (Comedy),,"Louis Brock, Producer [Second]",A Preferred List ,A Preferred List ,,
1932/1933,6,Short Subject (Comedy),1,"Louis Brock, Producer",So This Is Harris ,So This Is Harris ,,
1932/1933,6,Short Subject (Novelty),1,"Joe Rock, Producer",Krakatoa ,Krakatoa ,,
1932/1933,6,Short Subject (Novelty),,"Pete Smith, Producer [tied for 2nd]",Menu ,Menu ,,
1932/1933,6,Short Subject (Novelty),,Educational [tied for 2nd],The Sea ,The Sea ,,
1932/1933,6,Sound Recording,1,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms ,A Farewell to Arms ,,
1932/1933,6,Sound Recording,,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director",42nd Street ,42nd Street ,,
1932/1933,6,Sound Recording,,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]",Gold Diggers of 1933 ,Gold Diggers of 1933 ,,
1932/1933,6,Sound Recording,,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]",I Am a Fugitive from a Chain Gang ,I Am a Fugitive from a Chain Gang ,,
1932/1933,6,Writing (Adaptation),,Robert Riskin [Second],Lady for a Day ,Lady for a Day ,,
1932/1933,6,Writing (Adaptation),1,"Victor Heerman, Sarah Y. Mason",Little Women ,Little Women ,,
1932/1933,6,Writing (Adaptation),,"Paul Green, Sonya Levien [Third]",State Fair ,State Fair ,,
1932/1933,6,Writing (Original Story),1,Robert Lord,One Way Passage ,One Way Passage ,,
1932/1933,6,Writing (Original Story),,Frances Marion [Second],The Prizefighter and the Lady ,The Prizefighter and the Lady ,,
1932/1933,6,Writing (Original Story),,Charles MacArthur [Third],Rasputin and the Empress ,Rasputin and the Empress ,,
1934,7,Actor,1,It Happened One Night,Clark Gable,Clark Gable,,
1934,7,Actor,,The Affairs of Cellini,Frank Morgan,Frank Morgan,,
1934,7,Actor,,The Thin Man,William Powell,William Powell,,
1934,7,Actress,1,It Happened One Night,Claudette Colbert,Claudette Colbert,,
1934,7,Actress,,Of Human Bondage,Bette Davis,Bette Davis,,
1934,7,Actress,,One Night of Love,Grace Moore,Grace Moore,,
1934,7,Actress,,The Barretts of Wimpole Street,Norma Shearer,Norma Shearer,,
1934,7,Art Direction,,Richard Day [Third],The Affairs of Cellini ,The Affairs of Cellini ,,
1934,7,Art Direction,,"Van Nest Polglase, Carroll Clark [Second]",The Gay Divorcee ,The Gay Divorcee ,,
1934,7,Art Direction,1,"Cedric Gibbons, Fredric Hope",The Merry Widow ,The Merry Widow ,,
1934,7,Assistant Director,,Cullen Tate [Second],Cleopatra ,Cleopatra ,,
1934,7,Assistant Director,,Scott Beal [Third],Imitation of Life ,Imitation of Life ,,
1934,7,Assistant Director,1,John Waters,Viva Villa! ,Viva Villa! ,,
1934,7,Cinematography,,Charles Rosher [Third],The Affairs of Cellini ,The Affairs of Cellini ,,
1934,7,Cinematography,1,Victor Milner,Cleopatra ,Cleopatra ,,
1934,7,Cinematography,,George Folsey [Second],Operator 13 ,Operator 13 ,,
1934,7,Directing,1,Frank Capra,It Happened One Night ,It Happened One Night ,,
1934,7,Directing,,Victor Schertzinger [Third],One Night of Love ,One Night of Love ,,
1934,7,Directing,,W. S. Van Dyke [Second],The Thin Man ,The Thin Man ,,
1934,7,Film Editing,,Anne Bauchens [Third],Cleopatra ,Cleopatra ,,
1934,7,Film Editing,1,Conrad Nervig,Eskimo ,Eskimo ,,
1934,7,Film Editing,,Gene Milford [Second],One Night of Love ,One Night of Love ,,
1934,7,Music (Scoring),,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]",The Gay Divorcee ,The Gay Divorcee ,,
1934,7,Music (Scoring),,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]",The Lost Patrol ,The Lost Patrol ,,
1934,7,Music (Scoring),1,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love ,One Night of Love ,,
1934,7,Music (Song),,Music by Vincent Youmans,"""Carioca"" from Flying Down to Rio","""Carioca"" from Flying Down to Rio",,
1934,7,Music (Song),1,Music by Con Conrad,"""The Continental"" from The Gay Divorcee","""The Continental"" from The Gay Divorcee",,
1934,7,Music (Song),,Music by Ralph Rainger,"""Love In Bloom"" from She Loves Me Not","""Love In Bloom"" from She Loves Me Not",,
1934,7,Outstanding Production,,Metro-Goldwyn-Mayer [Second],The Barretts of Wimpole Street ,The Barretts of Wimpole Street ,,
1934,7,Outstanding Production,,Paramount,Cleopatra ,Cleopatra ,,
1934,7,Outstanding Production,,First National,Flirtation Walk ,Flirtation Walk ,,
1934,7,Outstanding Production,,RKO Radio,The Gay Divorcee ,The Gay Divorcee ,,
1934,7,Outstanding Production,,Warner Brothers,Here Comes the Navy ,Here Comes the Navy ,,
1934,7,Outstanding Production,,20th Century [Third],The House of Rothschild ,The House of Rothschild ,,
1934,7,Outstanding Production,,Universal,Imitation of Life ,Imitation of Life ,,
1934,7,Outstanding Production,1,Columbia,It Happened One Night ,It Happened One Night ,,
1934,7,Outstanding Production,,Columbia,One Night of Love ,One Night of Love ,,
1934,7,Outstanding Production,,Metro-Goldwyn-Mayer,The Thin Man ,The Thin Man ,,
1934,7,Outstanding Production,,Metro-Goldwyn-Mayer,Viva Villa! ,Viva Villa! ,,
1934,7,Outstanding Production,,Jesse L. Lasky (production company),The White Parade ,The White Parade ,,
1934,7,Short Subject (Cartoon),,"Charles Mintz, Producer [Third]",Holiday Land ,Holiday Land ,,
1934,7,Short Subject (Cartoon),,"Walter Lantz, Producer [Second]",Jolly Little Elves ,Jolly Little Elves ,,
1934,7,Short Subject (Cartoon),1,"Walt Disney, Producer",The Tortoise and the Hare ,The Tortoise and the Hare ,,
1934,7,Short Subject (Comedy),1,"Kenneth Macgowan, Producer",La Cucaracha ,La Cucaracha ,,
1934,7,Short Subject (Comedy),,"Jules White, Producer [Third]",Men in Black ,Men in Black ,,
1934,7,Short Subject (Comedy),,Warner Brothers [Second],"What, No Men! ","What, No Men! ",,
1934,7,Short Subject (Novelty),,Skibo Productions [Third],Bosom Friends ,Bosom Friends ,,
1934,7,Short Subject (Novelty),1,"Stacy Woodard and Horace Woodard, Producers",City of Wax ,City of Wax ,,
1934,7,Short Subject (Novelty),,"Pete Smith, Producer [Second]",Strikes and Spares ,Strikes and Spares ,,
1934,7,Sound Recording,,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Affairs of Cellini ,The Affairs of Cellini ,,
1934,7,Sound Recording,,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",Cleopatra ,Cleopatra ,,
1934,7,Sound Recording,,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]",Flirtation Walk ,Flirtation Walk ,,
1934,7,Sound Recording,,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]",The Gay Divorcee ,The Gay Divorcee ,,
1934,7,Sound Recording,,"Universal Studio Sound Department, Theodore Soderberg, Sound Director",Imitation of Life ,Imitation of Life ,,
1934,7,Sound Recording,1,"Columbia Studio Sound Department, John Livadary, Sound Director",One Night of Love ,One Night of Love ,,
1934,7,Sound Recording,,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Viva Villa! ,Viva Villa! ,,
1934,7,Sound Recording,,"Fox Studio Sound Department, E. H. Hansen, Sound Director",The White Parade ,The White Parade ,,
1934,7,Writing (Adaptation),1,Robert Riskin,It Happened One Night ,It Happened One Night ,,
